#        inc-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      3.3604225    0.022564821      3.2664354    0.018851677       3.542916    0.058977361
           -2.6      5.4372877    0.028568368      5.3044409    0.023997127      5.6135886    0.074804105
           -2.2       8.363486     0.03512103      8.1444121    0.029652443        8.80891    0.073822756
           -1.8       11.47415    0.040852542      11.180954    0.038945406      12.187391     0.11170262
           -1.4      14.491484    0.045485459      14.082111    0.043189098      15.109741    0.099615008
             -1       16.77624    0.048656864      16.282289    0.046342371      17.491069    0.097521699
           -0.6      18.326603    0.050766409      17.791173    0.048181132      19.031268     0.10415373
           -0.2       18.75366    0.051417231      18.228706    0.049363912      19.521488     0.10283813
            0.2      18.270261    0.050889122      17.735383    0.048471323      19.078397     0.11616825
            0.6        16.7789    0.049003594      16.294809    0.046267721      17.536102     0.09797316
              1      14.515378    0.045918715      14.112991    0.043711668      15.337591     0.10859878
            1.4      11.555184    0.041435993      11.229296    0.049713648      12.001279    0.085520915
            1.8      8.3406244     0.03556616      8.1442261    0.038768067      8.6311064    0.080856499
            2.2      5.4440793    0.029163685      5.3186087    0.027511649      5.6596862     0.06037672
            2.6      3.3344264    0.023012801      3.2596561    0.019264762      3.4920872    0.054996095
              3      3.3344264    0.023012801      3.2596561    0.019264762      3.4920872    0.054996095
