#       fid-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0049483336  9.2579365e-05   0.0046573336  8.1435529e-05   0.0053302677  0.00011814581
              5     0.01754508  0.00017100142      0.0162695  0.00015176608    0.019196493  0.00022080945
             10    0.034542768  0.00023723309    0.031930451  0.00021072462    0.037756212  0.00029910147
             15    0.056979866   0.0003032421    0.052851143  0.00027066582    0.061761332  0.00037664859
             20    0.086745451  0.00037288439    0.080869048  0.00033664537    0.093052389  0.00046631749
             25     0.11734384  0.00043033993     0.10890454  0.00038555815     0.12630197  0.00052756938
             30     0.13121345  0.00045202716     0.12097521  0.00040850767     0.14225324  0.00054802618
             35     0.12484293  0.00043792863     0.11426903   0.0003881013      0.1376669  0.00055909325
             40     0.10985021  0.00040777026    0.099864754  0.00036071356     0.12368026  0.00051832804
             45    0.093778142   0.0003747749    0.084809341  0.00033337672     0.10734715  0.00049033511
             50     0.07760273  0.00033974851    0.069743396  0.00029805132    0.090313575  0.00042964486
             55    0.063991513   0.0003070063     0.05739229  0.00026979635    0.075036392  0.00038852513
             60    0.053158946  0.00027922293    0.047532239  0.00024453254    0.062680985   0.0003510629
             65    0.044040868  0.00025316477    0.039392138  0.00022282037    0.051910634  0.00031877688
             70    0.036336279  0.00022920325    0.032385002  0.00020072294    0.042834025  0.00028416941
             75     0.03078613  0.00021060524    0.027464215  0.00018548432    0.036093904  0.00026188461
             80    0.025588305  0.00019193392    0.022794508  0.00016831984    0.029920209  0.00023650571
             85    0.021327432  0.00017509815    0.019044431  0.00015505611    0.024728496  0.00021675312
             90    0.017640029  0.00015901546    0.015739875  0.00013988613    0.020382053  0.00019303377
             95    0.014652882  0.00014484986    0.013062246  0.00012758987    0.016894608  0.00017703301
            100    0.012684705  0.00013416252    0.011293144  0.00011808333    0.014603781  0.00016144861
            105    0.010546611  0.00012268576   0.0094141873  0.00010812423     0.01204208  0.00014757204
            110   0.0091537345  0.00011377885    0.008173998  0.00010139197     0.01042441  0.00013965462
            115   0.0079263363  0.00010588282   0.0070607989  9.3346457e-05   0.0090352029  0.00012646566
            120   0.0069204992  9.9025871e-05   0.0061637646  8.7071363e-05   0.0078732667  0.00011772098
            125   0.0059529003  9.1794171e-05   0.0053135594    8.09579e-05   0.0067360195  0.00010857989
            130   0.0051904129  8.6041934e-05   0.0046391931  7.5731201e-05   0.0058513861  0.00010209943
            135   0.0045636632  8.0556427e-05   0.0040867642  7.1087698e-05   0.0051270666  9.6371299e-05
            140   0.0041146771  7.5930337e-05   0.0036820643  6.7600576e-05   0.0046253514  9.0486114e-05
            145   0.0036441581  7.1799191e-05   0.0033034988  6.9224267e-05   0.0040105084  9.7570031e-05
            150   0.0030999487  6.6196488e-05   0.0027949704  6.1303174e-05   0.0034364036  8.4980592e-05
            155   0.0028172705  6.2867143e-05   0.0025142638  5.5778279e-05   0.0031690271  7.4421235e-05
            160   0.0024390842   5.891482e-05   0.0021862007  5.2088454e-05   0.0027259177  6.9459847e-05
            165   0.0022287773    5.58225e-05   0.0019918502  4.9244528e-05   0.0024973528  6.5934802e-05
            170   0.0019824868  5.2614073e-05   0.0017658957  4.6463667e-05   0.0022390693  6.1966945e-05
            175   0.0017604077  4.9821409e-05   0.0015834999   4.485759e-05   0.0019503597  5.8862032e-05
            180   0.0015996077  4.7283216e-05   0.0014264673  4.1802748e-05    0.001797632  5.5214392e-05
            185   0.0014494283  4.5124266e-05   0.0012920436  3.9778224e-05   0.0016260879  5.2803941e-05
            190   0.0012779235  4.2309132e-05   0.0011450604   3.764559e-05   0.0014263595  4.9700657e-05
            195    0.001156014  4.0219479e-05   0.0010358255   3.580594e-05   0.0012888812  4.7168511e-05
            200    0.001156014  4.0219479e-05   0.0010358255   3.580594e-05   0.0012888812  4.7168511e-05
