#     fidaa-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.2288602   0.0024345405      1.0487405   0.0026503012      1.3260818   0.0092084066
              5      1.7457008   0.0022112967      1.5660542   0.0024508613      1.7885344    0.002663507
             10      1.4121272   0.0017197405      1.3053248   0.0014906005      1.4498916   0.0021141195
             15      1.0509325   0.0013866478      0.9768888   0.0012246939      1.0860165   0.0016260655
             20     0.77492982   0.0011475549     0.72881457   0.0010365793     0.80888423   0.0015095201
             25     0.57040751  0.00096344869     0.53750781  0.00086799534     0.60292222   0.0012210085
             30     0.42146437  0.00081626539     0.39273208    0.000735979     0.45058449   0.0010270766
             35      0.3141853  0.00069786793     0.28949613  0.00062385453     0.34044601  0.00090218623
             40     0.23757668  0.00060204375     0.21739708   0.0006061908      0.2628144  0.00090326823
             45     0.18133073  0.00052285662     0.16474367  0.00046524427     0.20462369  0.00067789716
             50     0.14013293  0.00045812525     0.12671746  0.00041400806     0.16053321  0.00060381205
             55     0.10889625  0.00040246243    0.098151003  0.00035463446       0.126058  0.00050977004
             60    0.087059205  0.00035860899    0.078368659  0.00033717984     0.10115951  0.00049509226
             65    0.069483314  0.00031912021    0.062366306  0.00028092584    0.081041148  0.00040001217
             70    0.055954524  0.00028591027    0.050141626  0.00025141578    0.065133978  0.00035595609
             75    0.045899948  0.00025811405    0.041123152  0.00022805062    0.053251697  0.00032161159
             80    0.037297234   0.0002325222    0.033345013  0.00020419089    0.043221275  0.00028589085
             85     0.03049877   0.0002103258    0.027336318  0.00018606504    0.035057258   0.0002595641
             90    0.024930354  0.00018987514    0.022346575  0.00016735834    0.028528151  0.00023090888
             95    0.020521444  0.00017218078    0.018377761   0.0001518007    0.023435638  0.00020967088
            100    0.017365289   0.0001578548    0.015547505  0.00013938943    0.019778756  0.00019037487
            105    0.014438581  0.00014420565    0.012955524  0.00012767646    0.016325466  0.00017410086
            110    0.012344066  0.00013277274    0.011068842  0.00011844512    0.013939826   0.0001620482
            115    0.010567067  0.00012283254   0.0094555334  0.00010858804    0.011947577  0.00014684943
            120   0.0091025357  0.00011405041   0.0081409728   0.0001007052    0.010278854  0.00013626315
            125   0.0078087721  0.00010556222   0.0069911799   9.313206e-05   0.0087865787  0.00012489976
            130   0.0068065933  9.8648097e-05   0.0060969695  8.6963138e-05   0.0076387148  0.00011694018
            135     0.00595398  9.2454479e-05   0.0053452422  8.1494177e-05   0.0066567701  0.00011084267
            140   0.0053367242  8.6765525e-05   0.0047849375  7.7134588e-05    0.005975401   0.0001032164
            145    0.004631667  8.1308504e-05   0.0042081993  7.7114674e-05   0.0050757928  0.00010795758
            150   0.0039506627  7.5379135e-05   0.0035859956  6.9316867e-05   0.0043320327  9.5601956e-05
            155   0.0035176145  7.0460705e-05   0.0031473867  6.2569146e-05   0.0039392903  8.3987422e-05
            160   0.0030705321  6.6370916e-05   0.0027560272  5.8616266e-05   0.0034290062  7.8948664e-05
            165   0.0028074071  6.2960191e-05   0.0025233826  5.5697848e-05   0.0031181704  7.4319996e-05
            170   0.0024977296  5.9265098e-05   0.0022470015  5.3484123e-05   0.0027772016  7.1885701e-05
            175   0.0021673794  5.5700378e-05   0.0019641158    5.01203e-05   0.0023734022  6.6209596e-05
            180   0.0020119804  5.3194602e-05   0.0017988535   4.706422e-05   0.0022518939  6.2166016e-05
            185   0.0017983207  5.0478746e-05   0.0016109834  4.4526196e-05    0.002002781  5.9383725e-05
            190   0.0015848136  4.7266335e-05   0.0014186124  4.1927951e-05   0.0017708148  5.5624074e-05
            195   0.0014088265  4.4634254e-05    0.001265828     3.9641e-05   0.0015639843  5.2499944e-05
            200   0.0014088265  4.4634254e-05    0.001265828     3.9641e-05   0.0015639843  5.2499944e-05
