#       inc-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.9931771   0.0030737247      1.7009847   0.0033500354       2.127781    0.012047092
              5      2.7402195   0.0027427686      2.4631629   0.0030460885      2.8053754   0.0033435291
             10      2.1634662    0.002112971      1.9994341   0.0018246067      2.2222771   0.0025937528
             15      1.6080436   0.0017066534      1.4952539   0.0015051203      1.6620606   0.0020204288
             20      1.1887967   0.0014176307       1.118977   0.0012782319       1.242255   0.0018533305
             25     0.88173322    0.001196065     0.83050263   0.0010799917     0.93251004   0.0015293557
             30     0.65734124   0.0010187636     0.61201055  0.00091537297     0.70359355    0.001281814
             35     0.49484591  0.00087614294     0.45582815  0.00078061336     0.53831889   0.0011394106
             40     0.37698458  0.00075949288     0.34479975  0.00073271244     0.41901798   0.0010939544
             45     0.29038843  0.00066277122     0.26352995  0.00058721365     0.32982034  0.00086129769
             50     0.22601469  0.00058244466     0.20421327   0.0005247525     0.26054529  0.00077168179
             55      0.1777333   0.0005151219     0.16014665  0.00045678384      0.2068093  0.00066287425
             60     0.14341264  0.00046112467      0.1288595  0.00042350782     0.16783726  0.00062151535
             65     0.11454732  0.00041070563     0.10262628  0.00036006759      0.1344786  0.00051713301
             70     0.09249988  0.00036805242    0.082755637  0.00032296104     0.10832451  0.00046037128
             75    0.075895407  0.00033320052     0.06800444  0.00029660679    0.088360133  0.00042382897
             80    0.061977509  0.00030059112    0.055392495  0.00026356117    0.072075736  0.00037158077
             85    0.051263448  0.00027331091    0.045900283   0.0002408532    0.059158374  0.00033787727
             90    0.042788895  0.00024920655    0.038264198  0.00021902535    0.049252541  0.00030494266
             95    0.035555318  0.00022718612    0.031858141  0.00020064913    0.040659254  0.00027897507
            100    0.030356663  0.00020889946    0.027152474  0.00018469339    0.034681986  0.00025373493
            105    0.025335125   0.0001914284    0.022722607  0.00016893262    0.028737595  0.00023205659
            110     0.02159731  0.00017588462     0.01934439  0.00015614284    0.024470412   0.0002141223
            115    0.018544349   0.0001630726    0.016601474  0.00014410378    0.020983727  0.00019564026
            120    0.015534225  0.00014917603    0.013912333  0.00013297693    0.017526996  0.00018109995
            125    0.013468391  0.00013875585     0.01207227  0.00012449105    0.015158513  0.00016916436
            130    0.011627849  0.00012891014    0.010392082  0.00011365426    0.013116084  0.00015374268
            135    0.010032723  0.00012002116   0.0089865049  0.00010576248    0.011261933   0.0001437797
            140   0.0088492228  0.00011246838   0.0079470433  9.9926966e-05   0.0098952103  0.00013580198
            145   0.0075501873   0.0001041395   0.0068247947  9.6046452e-05    0.008344958  0.00013336297
            150    0.006504367  9.6717947e-05   0.0058665488  8.7608251e-05   0.0072105041  0.00012011366
            155   0.0057128038   9.020697e-05   0.0051194431  7.9976786e-05    0.006386507  0.00010725767
            160   0.0048755845  8.3742686e-05   0.0044421672  9.8703748e-05   0.0053212896  0.00015981056
            165   0.0044435842  7.9417831e-05   0.0039844125  7.0156933e-05   0.0049602479  9.3733737e-05
            170   0.0038958565  7.4069176e-05   0.0035049916  6.6619853e-05   0.0043287219  8.9449997e-05
            175   0.0034206851  6.9729818e-05   0.0030837654  6.2400858e-05    0.003782754  8.3242856e-05
            180   0.0031276398  6.6388368e-05   0.0027996296  5.8791337e-05   0.0034970343  7.7758147e-05
            185   0.0027311585  6.2041122e-05   0.0024393392  5.4743534e-05   0.0030614562    7.27057e-05
            190   0.0023474572   5.774552e-05   0.0021081137  5.1221103e-05   0.0026100293  6.9279522e-05
            195   0.0021375216  5.5129523e-05   0.0019155051   4.876577e-05   0.0023823527  6.4869196e-05
            200   0.0021375216  5.5129523e-05   0.0019155051   4.876577e-05   0.0023823527  6.4869196e-05
