#        inc-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      3.0456096   0.0097974302      2.9020502   0.0085384499      3.1649456     0.02697337
           -2.6      4.9876378    0.012472948      4.7503002    0.010826992      5.1830197    0.030572845
           -2.2      7.6380678    0.015314277      7.2625224    0.013288408      7.9250935    0.034593348
           -1.8      10.690139    0.017941466      10.159171    0.015624111      11.140066    0.041923284
           -1.4      13.504757    0.020025012      12.813955    0.017410869       14.10515    0.047664634
             -1      15.751287    0.021506285      14.928448    0.018645529      16.440882    0.047939607
           -0.6      17.176013    0.022415474      16.275711    0.019481941      17.963368    0.047293132
           -0.2      17.707583    0.022738919       16.77278    0.019701231      18.470108    0.049145591
            0.2      17.187728    0.022484152      16.288244    0.019537852      17.946237    0.051750891
            0.6      15.737752    0.021643052      14.926825    0.018860437       16.44388    0.046436078
              1      13.517728    0.020221801      12.824162    0.017804858      14.081821    0.046678494
            1.4      10.692156      0.0182084      10.168224    0.015814915      11.185933    0.043827466
            1.8      7.6123679    0.015552094      7.2425435    0.013437082       7.920879    0.041131298
            2.2      4.9474149    0.012681104      4.7164912    0.011012683      5.1047494    0.035397236
            2.6      3.0563573    0.010026464      2.9146586   0.0086975036      3.1657435    0.026532161
              3      3.0563573    0.010026464      2.9146586   0.0086975036      3.1657435    0.026532161
