#       fid-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              5              0              0              0              0              0              0
             10              0              0              0              0              0              0
             15              0              0              0              0              0              0
             20              0              0              0              0              0              0
             25     0.30363029   0.0007237057     0.28292681  0.00064545765     0.32562313  0.00089133142
             30     0.22436617  0.00061459136     0.20668925  0.00054827742     0.24328168  0.00075317369
             35     0.16930091  0.00052821049     0.15439154  0.00047078784     0.18802139  0.00068260697
             40     0.12764801  0.00045608403     0.11546891  0.00040249181      0.1451042  0.00058098288
             45     0.09935206  0.00039999255    0.089352124  0.00035229041     0.11504024  0.00051128738
             50    0.076655835  0.00034918754    0.068688368  0.00031181437    0.089818023  0.00046634529
             55    0.060659649  0.00031021771    0.054251887  0.00027426395    0.071459274  0.00039760193
             60    0.049017572  0.00027757816    0.043673072  0.00024302582    0.058039119  0.00034886777
             65    0.039515564  0.00024944306    0.035262555  0.00022123898    0.046614227  0.00031778953
             70    0.032245119   0.0002248716    0.028712038  0.00019651224    0.037981655  0.00028031201
             75    0.026585476  0.00020345881    0.023739421  0.00017921316    0.031069025   0.0002527281
             80    0.022168742  0.00018559438    0.019770292  0.00016309361    0.025843853  0.00022816003
             85     0.01803874   0.0001668078    0.016086404  0.00015578259    0.020922757  0.00022445231
             90    0.015382932  0.00015395731    0.013691397  0.00013524232    0.017819698  0.00018796852
             95    0.012791167  0.00014043288    0.011408229  0.00012392955    0.014730539   0.0001711061
            100    0.010915785  0.00012927576   0.0097401222  0.00011552165    0.012513929  0.00016092554
            105   0.0092584279  0.00011901139   0.0082080629  0.00010415731    0.010685593  0.00014303708
            110   0.0079583935  0.00011031813   0.0070598431  9.6749784e-05   0.0091471135  0.00013169518
            115   0.0067994514  0.00010179439   0.0060546896   9.010098e-05   0.0077574629   0.0001221638
            120   0.0058713781  9.5116803e-05   0.0052436623  8.4242324e-05   0.0066589062  0.00011496953
            125   0.0051555455   8.909205e-05   0.0045978567  7.8917505e-05   0.0058590848  0.00010747525
            130   0.0043534818   8.167184e-05   0.0038799538  7.2019926e-05   0.0049355789  9.6088971e-05
            135   0.0039388348  7.7369336e-05   0.0035047491  6.8261433e-05   0.0044626154  9.0724865e-05
            140   0.0032759514  7.0674218e-05   0.0029278694  6.2633245e-05   0.0036910971  8.3777272e-05
            145   0.0030165766  6.7823931e-05   0.0026909325  5.9806071e-05   0.0034076568  8.0268345e-05
            150   0.0025869205  6.2585421e-05   0.0022973442  5.5165861e-05   0.0029353005   7.319295e-05
            155   0.0023056079  5.9164347e-05   0.0020605308  5.2444193e-05   0.0025960053  6.9497247e-05
            160   0.0020949227   5.612091e-05   0.0018644254  4.9509925e-05   0.0023658734  6.6249726e-05
            165   0.0018645762  5.3287694e-05   0.0016678328  4.7008642e-05   0.0020889304  6.2670618e-05
            170   0.0015778971   4.906528e-05   0.0014099402  4.3455893e-05   0.0017690847  5.7518326e-05
            175   0.0015621221  4.8572307e-05   0.0013981616  4.3043249e-05   0.0017461896  5.6929829e-05
            180   0.0012680734  4.4163663e-05   0.0011415392  3.9273589e-05   0.0014070408  5.1529816e-05
            185   0.0011700841  4.2510263e-05   0.0010515259  3.7603575e-05   0.0013011393  4.9991883e-05
            190   0.0010780987   4.000399e-05   0.0009709937  3.6159646e-05   0.0011943484  4.6055021e-05
            195  0.00088517152  3.6543697e-05  0.00079275819  3.2664269e-05  0.00098647494  4.2460557e-05
            200  0.00088517152  3.6543697e-05  0.00079275819  3.2664269e-05  0.00098647494  4.2460557e-05
