#   fidaaBR-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0066198145  7.4505656e-06   0.0059047732   8.260908e-06   0.0068536487  2.1655028e-05
              5      0.0049027  5.2634088e-06   0.0045711775  5.8344197e-06   0.0050306342  6.4637476e-06
             10   0.0028303364  3.6290385e-06   0.0026408049   3.201497e-06   0.0029478927  4.9440626e-06
             15   0.0018167025  2.7762307e-06   0.0017059562  2.4948741e-06    0.001922863  3.5850103e-06
             20   0.0012346539  2.2291156e-06   0.0011561862  2.0277683e-06   0.0013204037  2.8934773e-06
             25  0.00086912733  1.8370071e-06  0.00080484308  1.6327948e-06  0.00094065239  2.2680319e-06
             30  0.00062595829  1.5414037e-06  0.00057368031  1.3749111e-06  0.00068556516  2.0143664e-06
             35  0.00046391619  1.3147217e-06  0.00042112284  1.1662425e-06  0.00051992236  1.6980485e-06
             40  0.00034382984  1.1260138e-06  0.00030982182  9.9094292e-07  0.00039351255  1.4388744e-06
             45  0.00026536944  9.8336511e-07  0.00023780632  8.6428477e-07  0.00030892342  1.2589669e-06
             50  0.00020202382  8.5347909e-07  0.00018046677  7.5893861e-07  0.00023764609  1.1341445e-06
             55  0.00015887105  7.5614721e-07  0.00014169569  6.6674528e-07  0.00018774925  9.7026989e-07
             60  0.00012659351  6.7241067e-07  0.00011253376  5.8754032e-07  0.00015029597  8.4729284e-07
             65   0.0001013944  6.0186003e-07    9.02928e-05  5.3555459e-07  0.00011986369  7.7290411e-07
             70  8.2251678e-05  5.4095718e-07  7.3049209e-05  4.7193224e-07  9.7151279e-05  6.7555593e-07
             75   6.719738e-05  4.8757332e-07  5.9863394e-05  4.2832329e-07  7.8704797e-05  6.0624472e-07
             80  5.5615896e-05  4.4331784e-07  4.9500046e-05   3.886322e-07  6.4964947e-05  5.4565064e-07
             85  4.5376175e-05  3.9887478e-07  4.0371668e-05  3.6962411e-07  5.2777071e-05  5.3247195e-07
             90  3.8229127e-05  3.6573366e-07  3.3972761e-05  3.2084628e-07  4.4356491e-05  4.4747843e-07
             95  3.1798209e-05  3.3378064e-07  2.8302823e-05  2.9446055e-07  3.6708582e-05  4.0842321e-07
            100  2.6855004e-05  3.0599576e-07  2.3922159e-05  2.7235846e-07  3.0851048e-05  3.8103597e-07
            105  2.2634937e-05  2.8088443e-07  2.0041447e-05  2.4530361e-07  2.6157946e-05   3.382063e-07
            110  1.9372053e-05  2.5985409e-07  1.7178639e-05  2.2763041e-07  2.2274802e-05  3.1160093e-07
            115  1.6654948e-05   2.402582e-07  1.4800533e-05  2.1203964e-07  1.9049417e-05  2.8880035e-07
            120  1.4326066e-05  2.2378713e-07  1.2762909e-05  1.9771164e-07  1.6299995e-05  2.7058135e-07
            125  1.2529323e-05   2.092725e-07  1.1153551e-05   1.849958e-07   1.427237e-05  2.5245494e-07
            130  1.0552225e-05  1.9151857e-07  9.3951667e-06  1.6870954e-07  1.1977744e-05    2.25555e-07
            135  9.5481177e-06  1.8163023e-07  8.4926108e-06  1.6008607e-07  1.0824873e-05  2.1329421e-07
            140  7.9041783e-06  1.6546053e-07   7.052528e-06  1.4638821e-07    8.92668e-06  1.9634328e-07
            145  7.2425312e-06  1.5843572e-07  6.4556048e-06  1.3955275e-07   8.189967e-06  1.8767753e-07
            150  6.2270938e-06   1.464497e-07  5.5755484e-06  1.3711553e-07  6.9791414e-06  1.9646771e-07
            155  5.5093864e-06  1.3806752e-07  4.9179859e-06  1.2209535e-07  6.2125758e-06  1.6257767e-07
            160  5.0107865e-06  1.3092605e-07  4.4554863e-06  1.1536386e-07  5.6659307e-06  1.5469454e-07
            165  4.3851121e-06   1.233029e-07  3.9193889e-06  1.0862578e-07  4.9178338e-06  1.4520092e-07
            170  3.7509293e-06  1.1396343e-07  3.3477362e-06  1.0078766e-07  4.2126759e-06    1.33803e-07
            175   3.701857e-06  1.1277261e-07  3.3137263e-06    9.97917e-08  4.1372742e-06  1.3250126e-07
            180  3.0443136e-06   1.030627e-07  2.7340788e-06  9.1475489e-08  3.3897213e-06  1.2043455e-07
            185   2.745011e-06  9.8209091e-08  2.4639202e-06  8.6695892e-08  3.0596564e-06  1.1594297e-07
            190  2.5434405e-06  9.2903244e-08  2.2894896e-06  8.3791685e-08  2.8200816e-06  1.0717739e-07
            195  2.0822856e-06  8.4399137e-08  1.8612031e-06  7.5310582e-08  2.3271814e-06   9.821236e-08
            200  2.0822856e-06  8.4399137e-08  1.8612031e-06  7.5310582e-08  2.3271814e-06   9.821236e-08
