#      incBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3   0.0076141729   2.430687e-05   0.0072615516   2.110527e-05    0.007906657  5.2593951e-05
           -2.6    0.012369393  3.0798066e-05     0.01178309  2.6828141e-05    0.012869675  7.9291817e-05
           -2.2    0.018919959  3.7775377e-05     0.01798873    3.27978e-05    0.019669683  8.0103944e-05
           -1.8    0.026153508  4.4036173e-05    0.024863195  3.8489134e-05    0.027316784   0.0001072701
           -1.4    0.032880932   4.897072e-05    0.031191116  4.2565006e-05    0.034425655  0.00010672359
             -1    0.038091409  5.2451717e-05    0.036101936  4.5500212e-05    0.039716085  0.00011071715
           -0.6    0.041566217  5.4609784e-05    0.039371298   4.740068e-05    0.043279796  0.00011310227
           -0.2    0.042557939  5.5363192e-05     0.04031994  4.8003864e-05    0.044398622  0.00011101128
            0.2    0.041463026   5.476527e-05    0.039285679  4.7690503e-05    0.043355302  0.00012097428
            0.6    0.038047032  5.2790648e-05    0.036076679  4.5655363e-05    0.039724593  0.00011111255
              1    0.032869085  4.9441579e-05    0.031183474  4.2801815e-05    0.034281558  0.00010441731
            1.4    0.026192706  4.4628155e-05    0.024892935  3.8836189e-05    0.027186056  0.00010220652
            1.8    0.018921239   3.837245e-05    0.017987869  3.3582058e-05    0.019609648   8.614351e-05
            2.2    0.012354506  3.1394234e-05    0.011779213  2.7412494e-05    0.012842314  8.3408203e-05
            2.6   0.0076443963  2.4812421e-05   0.0072810832  2.1426933e-05   0.0080028347  6.3547835e-05
              3   0.0076443963  2.4812421e-05   0.0072810832  2.1426933e-05   0.0080028347  6.3547835e-05
