#        fid-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6    0.082462762   0.0012886651    0.074655947   0.0011224742    0.091199164    0.001565697
           -2.2     0.47413306   0.0030582972     0.43104661   0.0026952217      0.5212339   0.0037232774
           -1.8      1.0054478   0.0044129513     0.91485249   0.0039533799      1.1039843   0.0055125605
           -1.4      1.4730367   0.0052913141       1.341897   0.0047110667      1.6139217   0.0064500376
             -1      1.8000675   0.0058119232       1.639294   0.0051613647      1.9721683   0.0070240649
           -0.6      2.0176455   0.0061372241      1.8364446    0.005491673      2.2118148   0.0074748122
           -0.2      2.0984287   0.0062397692      1.9086711   0.0055444747      2.3026344   0.0075053698
            0.2       2.019837   0.0061387595      1.8388782   0.0054553996      2.2132435    0.007411302
            0.6      1.8025697   0.0058250742      1.6411409   0.0052026248       1.975591   0.0071487683
              1      1.4710659   0.0053021552       1.336601    0.004660402      1.6178683   0.0063880928
            1.4      1.0128395   0.0044384749     0.92227005   0.0039400254       1.110624   0.0055080592
            1.8     0.47820475   0.0030902236     0.43496287   0.0027015007     0.52533928   0.0037828471
            2.2    0.082019127   0.0012904251    0.074144326   0.0011145208    0.090912063   0.0015791093
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
