#      fidBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6  0.00020445482  3.2056599e-06   0.0001863769  2.8057558e-06  0.00022375107  3.9524345e-06
           -2.2   0.0011956078  7.6125666e-06   0.0010850934  6.6677907e-06   0.0013174364  9.2277976e-06
           -1.8   0.0024603084  1.0828874e-05   0.0022434261  9.7480474e-06   0.0026922991  1.3588978e-05
           -1.4   0.0036211794  1.3002872e-05    0.003295018  1.1575805e-05   0.0039730167  1.5904384e-05
             -1   0.0044113575  1.4252577e-05   0.0040147294  1.2678037e-05     0.00483734  1.7268104e-05
           -0.6   0.0048911405  1.4955805e-05   0.0044519067  1.3269595e-05    0.005361086  1.7975678e-05
           -0.2   0.0050999955  1.5262068e-05   0.0046414638  1.3535055e-05   0.0055911484   1.831015e-05
            0.2   0.0049074453  1.5003124e-05   0.0044684402  1.3406822e-05   0.0053779094  1.8511861e-05
            0.6   0.0043988693  1.4266729e-05   0.0040050695  1.2634302e-05   0.0048205378  1.7268292e-05
              1   0.0036412061   1.306282e-05   0.0033139737  1.1656297e-05   0.0039934472  1.6131544e-05
            1.4     0.00247727  1.0905989e-05   0.0022531009  9.6125975e-06   0.0027210083  1.3383923e-05
            1.8   0.0011887152  7.6348275e-06     0.00107987  6.6910936e-06   0.0013081857  9.3955055e-06
            2.2  0.00020601943  3.2186058e-06  0.00018718119  2.7902673e-06  0.00022667309  3.9555029e-06
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
