#      fidaa-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6     0.68844171   0.0048187031      0.6718578   0.0040703013     0.70308823    0.012689916
           -2.2      3.9060722    0.011435588      3.8077747   0.0096899073      4.0526376    0.022713668
           -1.8      8.0720989    0.016335958      7.8776765    0.015560536      8.4521879    0.040821842
           -1.4      11.148014    0.019001336      10.846185    0.018058645      11.655624    0.042656895
             -1      12.935544    0.020384735      12.573523    0.019384859      13.481023    0.039499842
           -0.6      14.111324    0.021216803      13.718141    0.020182766      14.684465    0.043469111
           -0.2      14.454498    0.021518674      14.030979    0.020486159      15.099655    0.041794755
            0.2      14.053897    0.021269531      13.655112    0.020747493      14.702334    0.044817749
            0.6      12.934556    0.020512554      12.579334    0.019570332      13.503333    0.041898697
              1      11.140945    0.019180683      10.846184    0.018323743      11.598806    0.040821094
            1.4       8.088008    0.016562967      7.8834203    0.017395538      8.3927561    0.037853036
            1.8      3.9233098    0.011608024      3.8250375    0.011282494      4.0398297     0.02896835
            2.2     0.68292682   0.0049004821     0.66718932     0.00417284     0.70632706    0.011952687
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
