#       inc-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.3786008   0.0038028705      4.0452089    0.012727171        4.52165     0.01232886
              5      3.1439764   0.0026522409      3.0870905   0.0023756953      3.2308045   0.0032452535
             10        1.79258    0.001831194      1.7167009   0.0016298901      1.8685452    0.002547749
             15      1.1483551   0.0014049924      1.0852786   0.0012772957      1.2158159   0.0018957519
             20     0.78475205   0.0011325033     0.73403014   0.0010405328     0.84064463   0.0014707631
             25     0.55618388  0.00093811196     0.51477788  0.00083760463     0.60213761   0.0011686609
             30     0.40182113  0.00078885088      0.3676387  0.00069798574     0.44010461   0.0009648003
             35     0.29680283  0.00067312862      0.2692396   0.0005950469     0.32750229  0.00082554061
             40     0.22394968   0.0005811095     0.20166506  0.00051032119     0.24879359  0.00070618528
             45     0.17199397  0.00050765197      0.1542554  0.00045507579     0.19163826  0.00064372295
             50     0.13254779  0.00044338363     0.11830338  0.00038760532     0.14843934   0.0005372667
             55      0.1050983  0.00039360434    0.093569653  0.00034346448     0.11795616  0.00047421576
             60    0.084012108  0.00035087751    0.074741453   0.0003090877    0.094294558  0.00042869422
             65    0.067033372  0.00031275314    0.059524802  0.00027293092    0.075396778  0.00037325075
             70    0.054787905  0.00028215174    0.048681754  0.00024745997    0.061524363  0.00034054145
             75    0.045191863   0.0002558117    0.040095011  0.00022322515    0.050842025   0.0003054651
             80    0.036926874  0.00023067962    0.032778272  0.00020209611    0.041497955  0.00027483797
             85    0.030607782  0.00021055584     0.02719374  0.00018391266    0.034342294  0.00025022076
             90    0.025620627  0.00019206941    0.022743145  0.00016846582     0.02877775  0.00022943716
             95    0.021248281  0.00017520239    0.018943097  0.00015446866    0.023711693  0.00021054372
            100    0.018284511  0.00016214331     0.01625839  0.00014218483    0.020480871  0.00019299447
            105    0.015390885  0.00014859507    0.013666383  0.00012977956    0.017272343  0.00017558253
            110    0.013059965  0.00013630446    0.011603277  0.00011994182     0.01464129  0.00016257294
            115    0.011106102  0.00012581549   0.0098853626  0.00011069357    0.012416587  0.00014911265
            120   0.0098369684  0.00011825737   0.0087760347  0.00010853445    0.010959619   0.0001492766
            125   0.0083651429  0.00010926209   0.0074443052   9.587335e-05   0.0093531447  0.00012884664
            130   0.0071019687  0.00010082099   0.0063434297  8.8684661e-05   0.0078975071  0.00012036374
            135   0.0061391092  9.3504446e-05   0.0054631156  8.2233324e-05   0.0068655074  0.00010981299
            140   0.0054169309  8.7422027e-05   0.0048069448  7.6779263e-05   0.0060817597  0.00010211304
            145   0.0046567563  8.1287256e-05   0.0041574815  7.1915038e-05   0.0051814234  9.4998268e-05
            150   0.0040387923  7.5686611e-05     0.00360663  6.6635634e-05   0.0044916025  8.8532221e-05
            155   0.0035202426  7.0742339e-05   0.0031536407   6.271357e-05   0.0038959698  8.4022957e-05
            160   0.0031485413  6.6854769e-05   0.0028166728  5.9004548e-05   0.0034919277  7.7860923e-05
            165   0.0027288393   6.172498e-05   0.0024250724  5.4527745e-05   0.0030568659  7.1227266e-05
            170   0.0024232069    5.83758e-05   0.0021541502  5.1585096e-05    0.002713061  6.8119294e-05
            175   0.0020971527  5.4501036e-05   0.0018807369  4.8534816e-05   0.0023172297  6.4469865e-05
            180   0.0019511204  5.2415244e-05   0.0017518109  4.6734875e-05   0.0021518351  6.0875673e-05
            185    0.001684856  4.8975251e-05   0.0015125406  4.3486394e-05    0.001858582  5.7921428e-05
            190   0.0015537015  4.6623152e-05   0.0013884886  4.1304989e-05   0.0017257085  5.4779838e-05
            195   0.0013183307  4.3328186e-05   0.0011846792  3.8865854e-05   0.0014520943  5.1867307e-05
            200   0.0013183307  4.3328186e-05   0.0011846792  3.8865854e-05   0.0014520943  5.1867307e-05
